company,Percentage of Verifiability,Percentage of NEI Claims,cluster
Rosatom,23.883161512027492,65.12027491408935,0
Westinghouse,14.479638009049772,67.42081447963801,0
EDF,13.069908814589667,65.04559270516718,0
NuScale,14.093959731543624,58.38926174496645,0
Rolls-Royce SMR,24.01960784313726,50.49019607843137,0
GE-Hitachi,21.290322580645164,63.2258064516129,0
TerraPower,27.17391304347826,61.95652173913043,0
Ontario Power Generation,33.61344537815126,59.66386554621849,0
USNC,22.666666666666668,69.33333333333334,0
Energoatom,11.688311688311686,59.74025974025974,0
Rosenergoatom,14.666666666666668,64.0,0
Doosan Enerbility,21.73913043478261,73.91304347826086,0
CEZ,20.0,52.0,0
Moltex,17.307692307692307,51.92307692307693,0
Korea Hydro & Nuclear Power,23.18840579710145,65.21739130434783,0
China National Nuclear Corporation (CNNC),20.289855072463773,71.01449275362319,0
China National Nuclear Corporation,36.36363636363637,63.63636363636363,0
ARC,26.666666666666668,66.66666666666666,0
Jacobs,32.25806451612903,67.74193548387096,0
Terrestrial Energy,31.25,56.25,0
Oklo,25.0,63.888888888888886,0
Great British Nuclear,25.714285714285715,57.14285714285714,0
Cameco,21.62162162162162,67.56756756756756,0
Nuclearelectrica,35.0,50.0,1
Dow,42.42424242424242,51.515151515151516,1
Orlen Sythnos Green Energy,40.0,45.0,1
newcleo,61.224489795918366,30.612244897959183,1
GE-Hitachi Nuclear Energy,51.31578947368421,43.42105263157895,1
X-Energy,38.34586466165413,49.62406015037594,1
Bruce Power,47.16981132075472,41.509433962264154,1
Fortum,36.170212765957444,55.319148936170215,1
Tractebel,36.666666666666664,56.666666666666664,1
Vattenfall,37.5,56.25,1
Akkuyu Nukleer JSC,15.789473684210524,78.94736842105263,2
Bechtel,13.043478260869565,78.26086956521739,2
Urenco,11.864406779661017,74.57627118644068,2
Korea hydro and Nuclear Power (KHNP),14.285714285714285,76.19047619047619,2
Orano,13.043478260869566,84.05797101449275,2
TVEL,5.2631578947368425,73.68421052631578,2
Holtec,10.687022900763358,75.57251908396947,2
Framatome,13.636363636363638,73.37662337662337,2
BWXT,13.636363636363635,86.36363636363636,2
Sellafield Ltd,-15.151515151515152,84.84848484848484,2
Tepco,3.125,84.375,2
Georgia Power,-9.677419354838708,58.06451612903226,2
Teollisuuden Voima Oyj (TVO),12.90322580645161,67.74193548387096,2
