Company,Merged with,Number of Claims Belonging to that Company Before Merge
Utah Associated Municipal Power Systems (UAMPS),Utah Associated Municipal Power Systems (Uamps),3
Mitsubishi Heavy Industries Ltd (MHI),Mitsubishi Heavy Industries (MHI),3
GEN Energija,GEN energija,3
Societatea Nationala Nuclearelectrica (SNN),Societatea Națională Nuclearelectrica,3
New Brunswick Power (NB Power),New Brunswick Power,2
KEPCO,Kepco,2
Invest Alberta,Alberta Innovates,2
Environment Agency (EA),Environment Agency,2
China General Nuclear Power Group,China Nuclear Power Engineering Group,2
China National Nuclear Corp,China National Nuclear Corp (SNNS),2
Hyundai Engineering & Construction (Hyundai E&C),Hyundai Engineering & Construction,2
Balfour Beatty Group,Balfour Beatty,2
China Nuclear Industry Fifth Construction Company (CNI5),China Nuclear Industry 22 Construction Company,2
Rusatom – Automated Control Systems JSC,Rusatom Automated Control Systems (RASU),2
Mott Macdonald,Mott MacDonald,2
Nano Nuclear Energy,"NANO Nuclear Energy, INC.",2
Nuclear Regulatory Commission (NRC),US Nuclear Regulatory Commission,2
IC Ictas,IC Içtas,2
IC İçtaş,IC Içtas,2
Nuclear Power Corporation of India Ltd.,Nuclear Power Corporation of India Ltd,2
The Electric Power Research Institute,Electric Power Research Institute,2
NNB Generation Company (SZC) Ltd,NNB Generation Company HPC Ltd,2
Google,Google-X,2
AEM-technology,AEM-Technologies,2
Hyundai Engineering and Construction,Hyundai Engineering & Construction,2
Korea Hydro & Nuclear Power Co,Korea Hydro & Nuclear Power,2
French companies,French company,2
ENTRA1,Entra1,2
Brookfield Renewable,Brookfield Renewable Partners,2
RASU JSC,RAOS JSC,2
NNB Generation Company,NNB Generation Company HPC Ltd,2
China Nuclear Power Research and Design Institute,Nuclear Power Research & Design Institute of China,2
Shikoku Electric Power Co,Tohoku Electric Power Co,2
Veolia Nuclear Solutions,Veolia Nuclear Solutions (VNS),2
Duke Energy Corp,Duke Energy,2
Constellation Energy Corp,Constellation Energy,2
Ultra Safe Nuclear Corporation UK,Ultra Safe Nuclear Corporation,2
University of Leicester,University of Manchester,2
Energy Fuels,ULC-Energy,2
Hungarian Atomic Energy Authority (HAEA),Hungarian Atomic Energy Authority,2
Akkuyu Nükleer,Akkuyu Nukleer JSC,2
Energospetsmontazh JSC,Energospetzmontazh,2
US Nuclear Energy Institute,Nuclear Energy Institute,2
Great British Nuclear (GBN),Great British Nuclear,2
ORLEN Synthos Green Energy (OSGE),Orlen Sythnos Green Energy,2
Triniti,TRINITI,2
US PacifiCorp,PacifiCorp,2
GS Engineering & Construction,Kepco Engineering & Construction,2
ZiO-Podolsk JSC,ZiO-Podolsk,2
TSS Group,SUAS Group,2
NA Dollezhal Scientific Research & Design Institute of Power Engineering (JSC Nikiet),NA Dollezhal Scientific Research & Design Institute of Power Engineering (Nikiet),2
NRG PALLAS,NRG I PALLAS,2
JSC Atomenergoremont,Atomenergoremont JSC,2
Polskie Elektrownie Jądrowy,Polskie Elektrownie Jadrowe (PEJ),2
HD Korea Shipbuilding & Offshore Engineering (KSOE),HD Korea Shipbuilding & Marine Engineering,2
American Bureau of Shipping,American Bureau of Shipping (ABS),2
Fusion for Energy (F4E),Fusion for Energy,2
Hyundai Engineering & Construction (HEC),Hyundai Engineering & Construction,2
JSC TsPTI,JSC TSPT,2
NRG|Pallas,NRG I PALLAS,2
Nucleoeléctrica Argentina,Nucleoelectrica Argentina,2
Oglethorpe Power Corporation,Oglethorpe Power Corp,2
Tokyo Electric Power Company (TEPCO),Tokyo Electric Power Company (Tepco),2
Global Laser Enrichment (GLE),Global Laser Enrichment,2
