company,Percentage of Verifiability,Percentage of NEI Claims,cluster
Rosatom,20.103092783505154,69.24398625429554,0
X-Energy,27.819548872180448,60.150375939849624,0
GE-Hitachi,17.419354838709676,68.38709677419355,0
Rolls-Royce SMR,19.607843137254903,57.84313725490197,0
Rosenergoatom,12.000000000000002,69.33333333333334,0
Ontario Power Generation,27.73109243697479,65.54621848739495,0
CEZ,14.0,66.0,0
Korea Hydro & Nuclear Power,21.73913043478261,69.56521739130434,0
Fortum,31.914893617021278,63.829787234042556,0
Moltex,13.461538461538462,59.61538461538461,0
Nuclearelectrica,17.5,67.5,0
Tractebel,33.33333333333333,60.0,0
China National Nuclear Corporation,21.21212121212121,72.72727272727273,0
Terrestrial Energy,28.125,59.375,0
Great British Nuclear,25.71428571428571,62.857142857142854,0
Oklo,27.77777777777777,61.111111111111114,0
ARC,23.333333333333336,70.0,0
Jacobs,25.806451612903224,74.19354838709677,0
Akkuyu Nukleer JSC,10.526315789473683,84.21052631578947,1
TerraPower,16.304347826086953,75.0,1
Holtec,1.5267175572519083,84.7328244274809,1
China National Nuclear Corporation (CNNC),10.144927536231885,81.15942028985508,1
Korea hydro and Nuclear Power (KHNP),11.11111111111111,82.53968253968253,1
Orano,10.144927536231885,89.85507246376811,1
BWXT,6.8181818181818175,93.18181818181817,1
USNC,17.333333333333332,77.33333333333333,1
Energoatom,1.2987012987012996,72.72727272727273,1
TVEL,2.105263157894739,83.15789473684211,1
Framatome,11.038961038961038,81.16883116883116,1
Westinghouse,10.407239819004525,74.6606334841629,1
NuScale,8.389261744966444,67.4496644295302,1
EDF,9.422492401215807,71.12462006079028,1
Georgia Power,0.0,67.74193548387096,1
Teollisuuden Voima Oyj (TVO),3.225806451612904,64.51612903225806,1
Cameco,13.513513513513516,81.08108108108108,1
Tepco,0.0,93.75,1
Doosan Enerbility,15.217391304347826,76.08695652173914,1
Bechtel,13.043478260869566,82.6086956521739,1
Urenco,0.0,89.83050847457628,1
Sellafield Ltd,-6.0606060606060606,93.93939393939394,1
Orlen Sythnos Green Energy,42.5,52.5,2
newcleo,59.183673469387756,36.734693877551024,2
Bruce Power,37.735849056603776,54.71698113207547,2
GE-Hitachi Nuclear Energy,47.36842105263158,47.368421052631575,2
Vattenfall,34.375,53.125,2
Dow,36.36363636363636,57.57575757575758,2
