company,Total Claims,cluster
Orlen Sythnos Green Energy,40.0,0
Dow,32.0,0
USNC,40.0,0
Great British Nuclear,35.0,0
TerraPower,63.0,0
newcleo,41.0,0
GE-Hitachi Nuclear Energy,70.0,0
Nuclearelectrica,32.0,0
Doosan Enerbility,31.0,0
ARC,30.0,0
Westinghouse,203.0,1
NuScale,296.0,1
Rolls-Royce SMR,192.0,1
EDF,142.0,2
Ontario Power Generation,95.0,2
GE-Hitachi,141.0,2
Rosatom,94.0,2
X-Energy,113.0,2
Holtec,104.0,2
