company,Total Labels,cluster
TVEL,53.0,0
Rosenergoatom,48.0,0
Holtec Britain,51.0,0
TerraPower,50.0,0
National Nuclear Laboratory,63.0,0
X-energy,54.0,0
Austin Energy,67.0,0
KHNP,27.0,0
Ultra Safe Nuclear Corporation,31.0,0
ARC Canada,31.0,0
Bruce Power,32.0,0
Nova Power & Gas,33.0,0
Urenco,33.0,0
Hyundai Engineering,37.0,0
Energoatom,40.0,0
State Council of China,41.0,0
GEH,23.0,0
Doosan Enerbility,26.0,0
Holtec International,26.0,0
Fortum,25.0,0
Akkuyu Nukleer,23.0,0
NuScale Power,319.0,1
Westinghouse,233.0,1
Rosatom,319.0,1
Framatome,85.0,2
Centrus Energy Corp,124.0,2
Rolls-Royce,111.0,2
EDF,183.0,2
National Nuclear Security Administration,126.0,2
GE-Hitachi,90.0,2
