company,SUPPORT,CONTRADICT,NEI
Ed. Züblin AG,,,1.0
Edison,,,5.0
Efinor,,,2.0
Eiffage,,,1.0
Electrogrup,1.0,,
Elektrárna Dukovany II,,,2.0
Eletrobras,,,2.0
Eletronuclear,,,5.0
Elysee,,,1.0
Emissions Reduction Alberta,1.0,,2.0
Empresarios Agrupados (EA),,,1.0
EnBW,,,2.0
Enel,2.0,,11.0
Energoatom,8.0,11.0,70.0
Energoholding,,,1.0
Energy Exploration,,,1.0
Energy Harbor,,,2.0
Energy Northwest,5.0,,5.0
EnergySolutions,,,2.0
Enfission,1.0,,
Engie Electrabel,2.0,3.0,13.0
Enresa,,,4.0
Ensreg,,,1.0
Entra1,,,1.0
Enusa,1.0,1.0,3.0
Environment Agency (EA),,,3.0
Envision AESC,,,1.0
Equitix,,,1.0
Eskom,,,6.0
EthosEnergy,,,2.0
European Investment Bank (EIB),,,5.0
Evonik AG,,,2.0
Exelon Generation,,,4.0
Expedition Engineering,,,3.0
ExxonMobil,,,1.0
FAB,,,1.0
FANC,,,4.0
FANR,,,2.0
FKA,,,1.0
FONGIT,,,1.0
FPCU Feldioara,,,1.0
FPoliSolutions,1.0,,1.0
FSUE Radon,,,1.0
Federal Network Agency,,,1.0
Fennovoima,,,3.0
Fermi Energia,4.0,2.0,10.0
Ferreira Guedes,,,1.0
Fincantieri,,1.0,
First Abu Dhabi Bank,,,10.0
First Light Co. Ltd,1.0,1.0,21.0
First Light Fusion,,,6.0
Flibe,,,1.0
Fluor,1.0,,5.0
Forth,,,2.0
Fortum,6.0,2.0,17.0
Framatome,10.0,6.0,69.0
Frazer-Nash Consultancy,,,1.0
French companies,,,3.0
FuelCell Energy,,,3.0
Full Matrix Ltd,,,1.0
Full-Life Technologies,,,2.0
GA-EMS,,,2.0
GAP,,,1.0
GBN,,,2.0
GE Steam Power,1.0,,5.0
GE Vernova,2.0,,5.0
GE-Hitachi,15.0,16.0,90.0
GEN Energija,,,2.0
GERB Vibration Control Systems,1.0,,4.0
GFP,1.0,,
GIC,,,1.0
GK Neolant,,,1.0
GMET,,,1.0
GNS,,,2.0
GSE Solutions,2.0,,10.0
GSPI,1.0,,3.0
GScan,,,1.0
Gazprombank,,,2.0
General Atomics,,1.0,12.0
General Electric,1.0,,11.0
General Fusion,,,8.0
Georgia Power,,3.0,14.0
Getka,,,1.0
Ghana News Agency,,,1.0
Gidropress,,,3.0
Gilmartin Engineering Works,,,1.0
Global Laser Enrichment (GLE),1.0,,
Global Nuclear Fuel-Americas (GNF-A),3.0,1.0,11.0
Goodwin International,,,2.0
Google-X,,,3.0
Graham Construction,,,1.0
Granitor Growth Management,,,4.0
Grant County Public Utility District,1.0,,
Greenpeace Energy,,2.0,
Grupa Azoty,1.0,,2.0
Gruppo Aturia,,,1.0
HCVC,,,1.0
HD KSOE,,,3.0
HDEC,,,2.0
Halden Kjernekraft,2.0,,1.0
Hanki,,,1.0
Hanson,,,3.0
Hanwon Central Research Institute,,,1.0
Hatch,2.0,,7.0
Haykakan Atomayin Elektrakayan,,,1.0
Hayward Tyler,,,2.0
Health & Safety Executive (HSE),,,1.0
Heidelberg Materials,,,2.0
Helen,,,6.0
Helical Fusion,,,1.0
Helion,,,3.0
Helmholtz Zentrum Berlin (HZB),,,1.0
Hexana,,,1.0
High-Tech Gründerfonds (HTGF),1.0,,4.0
Himmash JSC,,,1.0
Hitachi Zosen,,,2.0
Hokuriku Electric,,,1.0
Holtec Britain,4.0,8.0,42.0
Holtec International,1.0,2.0,23.0
Houlder,,,1.0
Howden,,,1.0
Hualong,,,3.0
Hugh Simpson Contractors,,,1.0
Huisman,,,1.0
Hynamics,1.0,,1.0
Hyundai Engineering,4.0,1.0,37.0
Hyundai Heavy Industries,,,1.0
IAEA,4.0,3.0,7.0
IBRAE RAS,,,2.0
IC Içtas,1.0,,6.0
IDOM,,,4.0
IGCAR,,,1.0
IHS Markit,,1.0,
ILF,,,3.0
IMI Critical Engineering,,,1.0
INB,,,1.0
INP,,1.0,
INTERA Incorporated,,,1.0
INVAP,1.0,,5.0
IP Group,3.0,,26.0
IPP,,,1.0
IRE,1.0,,9.0
IRID,,,1.0
IRSN,,,2.0
ISAMZ,,,1.0
ISEC Monitoring Systems,,,1.0
ITER,,,4.0
Iberdrola,,,1.0
Idaho Environmental Coalition (IEC),,,1.0
Idaho National Laboratory (INL),,,9.0
Imabari Shipbuilding,,,2.0
Impact Innovations,,,1.0
Imperial College London,,1.0,1.0
Impuls Zeeland,,,1.0
Independent Nuclear Assurance (INA),1.0,,
Indonesia Power,,,4.0
Industria,1.0,2.0,11.0
Indústrias Nucleares do Brasil (INB),,,1.0
Ingérop,,,1.0
Intel,,,1.0
Interpath Advisory,,,1.0
Intuitive Machines,1.0,,1.0
Invesco,,,1.0
Invest-NL,1.0,,1.0
Isogen,3.0,,
