source_id,magazine,date,external_urls,Provenance_Score
92c33098a4b950f39c75b006096d81f59d69348b0d9e089b291f0d31bb7feb12,NucNet,1714003200000,['https://energia.fi/en/press-releases/popularity-of-nuclear-power-continues-strong-in-finland/'],0.1
95a7133a824d1b709a585ad19a46acc8e51884ac0dce0c48307b98febb599a43,NucNet,1713916800000,[],0.0
7f18d0de15ea2a06fe0a5b0bbb1976cd0f73a9556f93042bbacdc093cc607f4d,NucNet,1713225600000,[],0.0
df1f3e19ac92766288489d58fab66b923767666328b4ef3eb3df16da3de9f13c,NucNet,1713139200000,[],0.0
ade1cea067e62aa453bc874cd07846e6c19010c6a3cd0b7114ad9b0fdbc5a89d,NucNet,1712880000000,"['https://www.energy.gov/ne/articles/coal-nuclear-transitions-information-guide', 'https://www.energy.gov/ne/articles/could-nations-coal-plant-sites-help-drive-clean-energy-transition']",0.2
f8c97759334e74ff7943506403208081c5a81fa4ad680b067982d1924ee8615f,NucNet,1712880000000,[],0.0
6e81fc0110d34c76921f3d9fb637e91fdabc61f893513d2645c50be8b0e63fc0,NucNet,1712793600000,[],0.0
22cc9dcc302889b5bf7801493cb4f0099910d66ac43880b0815ed051251a3cd6,NucNet,1712707200000,[],0.0
9fe2cf3334fe49708d9fb26975751182c73a8ebbe15bb041200e863e7e104512,NucNet,1712707200000,['https://www.ft.com/content/46a0b8c9-832e-463d-b5ff-2a8411b23b02?utm_term=B5EF17A4-C193-4EAA-B38B-8579678569C2&ftcamp=engage%2Femail%2Fnewsletters%2Fsmart_brief%2Fsmartbriefnewsletterscontrafcf%2Fauddev&segid=0800933&utm_content=9D3DCB05-DBAD-466D-A88C-02FE27661DE8'],0.1
d3fc8484a3b32c21d3d9ba76febd5076250b7df49003c620735893eddbcd26a0,NucNet,1712620800000,[],0.0
4419c5680ce9e501e089ea36ed96aadefc34bb4ac0d1ac105b6780c8c185d791,NucNet,1712534400000,[],0.0
3cc607fc800811811a11b43037f31778a7d90621098a80b9def518badde38a63,NucNet,1712275200000,['https://balkangreenenergynews.com/power-industry-urges-serbia-to-abolish-nuclear-moratorium/?fbclid=IwAR1qPb_1UnwN6giJXdOSbmBFNdaW2ESUrWt4D89z9d2uvZDH41FFY_dVDfs_aem_AZw6nVAIj-74t8iBU9-tCH8YqWfEF7DSPaNWg9UztrLY1ZbQ4Jd4_wADRouyW22FTrn0jjidZyaDCPjAxzbUcyJ1'],0.1
36f4a8147bfc0ace0eefbccd829c401c9074685ce4e7da059524946ec4da411d,NucNet,1712102400000,[],0.0
99f82b3a8745f28e57ca24d83986b40f0eea8131501f2d2b01fb6c0a2c1def5a,NucNet,1711670400000,[],0.0
1719bb5d5a7d23636b2c34d2bfb269fb013bcd99dc7965f71559556a4546ae47,NucNet,1711584000000,[],0.0
a7924858359ced399eabdf28e36e3440a5974f6337d4d254f1ac95c03d792242,NucNet,1711497600000,[],0.0
bdb628ce55703c31266aaec71ad50897c7cf9b08e8f48d6f721d806b591d6a55,NucNet,1711497600000,[],0.0
510588c8dee5797297ef22c2b667d8c1a87f3339390ce9cfcdd19096842b91e1,NucNet,1711411200000,[],0.0
21c6f31dd69121886f68a3034f6913ef9fdf976625fc6acc0f0b3752eeb8d14c,NucNet,1711065600000,[],0.0
8a88de443a13841ad71db8c1f6d7c8452321e31c4ed0a15b1f266c20e147bd87,NucNet,1710979200000,[],0.0
753ebcbb87d0ee5373c2ee11c596534cf985227c52b7264eb0412ee08d04e1b3,NucNet,1710979200000,[],0.0
b23891e76db4c4546f6bd6ba8356fd001f0c3dca04718c6bf80d140ac611230f,NucNet,1710892800000,[],0.0
22dc204b6d3a976cd98b21fc9ffaffcd362b6f2a518d4970c8065f102b560d74,NucNet,1710806400000,[],0.0
716893ed1311671318e9b0c5e1375f92112a7417463170b29e0c60ecb8c9d35e,NucNet,1710720000000,[],0.0
2e523d2583fd718bcfa05ffdf6239fea653faf155ddba41298ae1ab187ddead1,NucNet,1710374400000,"['https://www.woodmac.com/press-releases/2024-press-releases/global-nuclear-smr-project-pipeline-expands-to-22-gw-increasing-more-than-65-since-2021/#:~:text=According%20to%20the%20report%2C%20%E2%80%9CSMR,triple%20nuclear%20capacity%20by%202050.']",0.1
4b6962ea9465f6eb12d240a2e8d2e7be7282f614668c33b9317318ba7df652d8,NucNet,1710288000000,['https://biznesalert.pl/bando-szukamy-najlepszych-do-zarzadzania-strategiczna-infrastruktura-energetyczna-rozmowa/'],0.1
904818f121d72e34e4f5f146c86328e8cbf527d8bce4e272ed7b9e3e41eb1d70,NucNet,1710201600000,[],0.0
4ba5c09ed4e182ae2977d6c6596f37b93004c3ad36bacf4990e86b366e2adf76,NucNet,1709856000000,[],0.0
9242854f746e3f93a58342a41b2038fc3689153992a8bf70b2786eb250df7f95,NucNet,1709769600000,[],0.0
57041840a2e5152f90a0aa760ac4686be6f7000b3445663b3a80645592000723,NucNet,1709683200000,['https://presse.economie.gouv.fr/declaration-of-the-eu-nuclear-alliance-meeting-of-march-4th-2024/'],0.1
41b46652672bf259c587bb9cafdfe71ee8127b1f91e47c1c44c88c0d7c0e9460,NucNet,1709683200000,[],0.0
a066d6b5fcd7c3e88ad30499145f1152ef7dc138bfe529e1227ff4524dc4503d,NucNet,1709683200000,[],0.0
a0f8e35c38638b1a06a4be405f76518d2864e404efd38a5cf8c625dd59da4c29,NucNet,1709596800000,['https://presse.economie.gouv.fr/declaration-of-the-eu-nuclear-alliance-meeting-of-march-4th-2024/'],0.1
622004d7202328b847fea4fd8fe77f8d79ef4325d3465ff8522e88151b1015c3,NucNet,1709510400000,[],0.0
44ed71940f93a5dcb904012c4a325b2fba7c74758fae2ac90a39e58f2863ec6a,NucNet,1709510400000,['https://www.reuters.com/business/energy/canada-expedite-approval-new-nuclear-projects-energy-minister-says-2024-02-29/?fbclid=IwAR20jX7IY73FeFwg0x0c8a2aGRvuJ0uREZOma9SRVWjs63XcH43NbQmh0dw'],0.1
d7c63e80cdade915fd059399a9949368f584ee7633c5fe49f433b2d7845edc75,NucNet,1709251200000,[],0.0
6a9150bb46d2605d242e3613b97b58b256dd8cd4c5411363f44a1ca5ac11064c,NucNet,1709164800000,[],0.0
9b07c121ab043f9164386f9bec3875cde34a1d464e2dd75e17f1d70723583076,NucNet,1709164800000,"['https://www.eib.org/en/press/all/2023-555-eib-announces-financing-for-nuclear-safety-project-in-romania#:~:text=A%20loan%20of%20%E2%82%AC145,will%20also%20improve%20resource%20efficiency.']",0.1
53e273eda10641464a9cd6358018fc46be5ebbd0b8a6906f167c135957aadcd3,NucNet,1709078400000,[],0.0
f7c6540739fe33943b988fd8b4f2449329f1a1cdb5f95bddca10395c84a139d3,NucNet,1709078400000,[],0.0
4754e12de017ad436066ddbdc42a4e959c144ba10f71a08003d374b13e02338a,NucNet,1708905600000,[],0.0
adfe9ca103f9c4e23d18c2be172034d992ebf18429e3bf69d8a65bd35aca5505,NucNet,1708560000000,[],0.0
3a5dc421b8f47bcd3511effadd67b2392049fe33199b869358768e35274bd78e,NucNet,1708473600000,['https://senedd.wales/media/2stafbby/cr-ld16349-e.pdf'],0.1
d2d9ac47405929283f61770d0d9f93fa65dfce1fde74d81fe6d109cb44cf67d3,NucNet,1707955200000,[],0.0
67b5262400d8c28ca0406377ad22e604ccf873711af7c9954f3d384197e1841e,NucNet,1708041600000,[],0.0
b25e7af61f9ddb4f3021e11c676206c3cac524769697c8e1f56da4ff465a9800,NucNet,1707696000000,[],0.0
6e2d15cdee3d2bcd81788d4e242f39ddcf4c97328e065bd4d1b73d4bcdd77cd5,NucNet,1707696000000,[],0.0
e4262ed266c33c3082b00f3d8414070fa2ff2bc514a37a59e55d1f360bffc15a,NucNet,1707696000000,[],0.0
7083339343b2ceb68564615aa19cbd89e768df760e7a8f0814ecd6af67e995a7,NucNet,1707696000000,[],0.0
0b2a8aa9c13ec64bcb4aacc053b4f8cbb91fd4aa7926194283e4cf81e5b6c2c8,NucNet,1707350400000,[],0.0
9276f7acb6266c3c3b7f56dbe109c291657d0d24092969e9facb5b5d7fa8c16d,NucNet,1707091200000,[],0.0
cf3b2fed45b540f88b1cd0553920db7a2748cb25878f65b76a3d1cf8c6932933,NucNet,1706745600000,[],0.0
88dd80863a33e6caa7aa779d7dec4cff5f33081878d930073d372191302e839e,NucNet,1706572800000,[],0.0
02f4f564f2d10c9394a5845490c9d5787c9b5ac1c0290fcb4d524a2c3a4967eb,NucNet,1706227200000,['https://neutronbytes.com/2024/01/19/lessons-for-nuscale-and-its-next-customers/'],0.1
d8bcf2516ec1cae7663c9b374d3f4aeeb29ba88915f89cbecc0c65b0a7ceaa3f,NucNet,1706140800000,[],0.0
dfa5f25afdb86af6458be07dbcacaf642a54853d19ff44839fe5fd7cdd946d2d,NucNet,1705968000000,[],0.0
5b0100d167684d65c7256d10335d7d53249b3c7dd54ee4a7be9b9b606588c8ef,NucNet,1705622400000,['https://www.weforum.org/agenda/2024/01/nuclear-energy-transistion-climate-change/'],0.1
7bf5cf24ee8eadb137842f95c7df99d1181534e419ec11307f0088d9b6ee3171,NucNet,1705536000000,['https://news.sky.com/video/share-13050175'],0.1
201d1f3de53f57c18c0063368abc6b57171767ec8bc626ddb5a573e027416111,NucNet,1705363200000,[],0.0
5b268d9b47eafe893e7ba2a913fb94bba43ddec8a7e25921b134ac26772b4e3a,NucNet,1705363200000,[],0.0
985c9e1a2eebd82953ea7174ddcbc29ef4de767e0f487691b8b0de0d37f6d6df,NucNet,1705017600000,[],0.0
9240953f1ef5d9bffbdef6f004c00dcae39881f6f5fb335bcf5a93431b8c788c,NucNet,1704931200000,[],0.0
8d6815b0de2804e531568f7b6fc92c4b67bfaae13b5b53538c6dd855f176b1fa,NucNet,1704931200000,[],0.0
f851d78d813c6b5b4539bbbef79b69807db41f887e80ca25de179284a746443c,NucNet,1704844800000,[],0.0
ee78654d08838fcc5354ff6cdf7b1cafb4de505753d35f50ae6e4a2c945aac22,NucNet,1704672000000,[],0.0
d887bc006d26f86fd03b2247ebc0c1bb70776037d2d670b94561ec739e28d633,NucNet,1704412800000,[],0.0
f14840734d68c860059bea16ed233427f443a9a7f6f6720438d97857ebb9a7ab,NucNet,1704412800000,['https://uutiset.tvo.fi/g/l/358968/48340990/2478889/2652/1012/2#ha246994h'],0.1
0142da9cea1c5912e54de7eebd8c1f1e0d3b487e4abe4a2f0a811e96f44b7872,NucNet,1704326400000,[],0.0
350ab60d21d6816cabcf6473ee419c67f24fb27a528cbb69128ec2089803fa1f,NucNet,1702944000000,[],0.0
55cfcf2cf230e696570163ce4836a40bda2bd5096eb25b79187a7074de2f882c,NucNet,1702857600000,[],0.0
6246dd110e510230f9e637e915c0b92417b37bf0e676a134cbf1bbd3c23f14e9,NucNet,1702857600000,[],0.0
087e35a6125dfe9c08ca0ff9247aa1a0c203c1b166c1cbad92e2400186566c56,NucNet,1702598400000,[],0.0
a070d7bb42d0b53a94474b4686ccdfe1871d81561079abc4f9f6c45a0f996bf3,NucNet,1702512000000,['https://www.adamsmith.org/research/fission-impossible-building-better-nuclear-for-the-future?fbclid=IwAR15d21ju1MuSsir8CFLzMVolHwhzQbJF2ZAStewqydkT9-ko892rN4mJuQ'],0.1
65a53e2b6545aefd7bf7979c84f81992c4d88d098100ee997e334ab1e0899d97,NucNet,1702512000000,[],0.0
