company,Percentage of Verifiability,Percentage of NEI Claims,cluster
NuScale Power,6.58307210031348,74.60815047021944,0
Rosatom,10.031347962382446,78.0564263322884,0
Centrus Energy Corp,11.290322580645164,82.25806451612904,0
National Nuclear Security Administration,12.698412698412698,84.12698412698413,0
TVEL,5.660377358490567,86.79245283018868,0
National Nuclear Laboratory,12.698412698412698,84.12698412698413,0
Austin Energy,7.462686567164178,83.5820895522388,0
Framatome,4.705882352941176,81.17647058823529,0
Nova Power & Gas,6.060606060606061,87.87878787878788,0
ARC Canada,16.129032258064516,77.41935483870968,0
Akkuyu Nukleer,8.695652173913043,82.6086956521739,0
Ultra Safe Nuclear Corporation,12.903225806451614,74.19354838709677,0
Hyundai Engineering,8.108108108108109,86.48648648648648,0
Urenco,3.030303030303031,84.84848484848484,0
X-energy,25.925925925925927,70.37037037037037,1
Fortum,16.0,68.0,1
GEH,13.043478260869566,69.56521739130434,1
Bruce Power,28.125,65.625,1
Holtec Britain,-9.803921568627452,78.43137254901961,2
TerraPower,0.0,88.0,2
EDF,-2.185792349726775,79.23497267759562,2
Westinghouse,3.4334763948497855,76.82403433476395,2
Rolls-Royce,0.0,58.55855855855856,2
GE-Hitachi,-4.444444444444445,73.33333333333333,2
Rosenergoatom,-6.25,81.25,2
State Council of China,0.0,85.36585365853658,2
Energoatom,0.0,75.0,2
KHNP,-3.703703703703704,81.48148148148148,2
Holtec International,-3.8461538461538463,88.46153846153845,2
Doosan Enerbility,0.0,76.92307692307693,2
